plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00616592,0.00001333,0.00152092,0.00749500,0.00001300,0.00162100,39.23437500,39.23437500,39.09375000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00614400,0.00001279,0.00152492,0.00679500,0.00001200,0.00158300,39.31250000,39.31250000,39.17187500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00638054,0.00001358,0.00156996,0.00690700,0.00002500,0.00162400,39.34375000,39.34375000,39.20312500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00663821,0.00001425,0.00166608,0.00748500,0.00001400,0.00175200,40.90625000,40.90625000,40.76562500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00632417,0.00001363,0.00155879,0.00740300,0.00001500,0.00164200,39.26562500,39.26562500,39.14062500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00619912,0.00001363,0.00154850,0.00670800,0.00001700,0.00160400,39.07812500,39.07812500,38.93750000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00619175,0.00001292,0.00156154,0.00696600,0.00001300,0.00161800,39.31250000,39.31250000,39.17187500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00620396,0.00001375,0.00152171,0.00668400,0.00001700,0.00160300,39.34375000,39.34375000,39.20312500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00673608,0.00001446,0.00164367,0.00739700,0.00003100,0.00173100,40.65625000,40.65625000,40.51562500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00637429,0.00001346,0.00153704,0.00701900,0.00001400,0.00157800,40.81250000,40.81250000,40.67187500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00610479,0.00001533,0.00152679,0.00662300,0.00001600,0.00156900,38.95312500,38.95312500,38.81250000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00641717,0.00001350,0.00153808,0.00808800,0.00001500,0.00159700,39.53125000,39.53125000,39.39062500
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00627942,0.00001375,0.00158242,0.00700000,0.00001300,0.00171500,39.25000000,39.25000000,38.96875000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00629713,0.00001354,0.00151287,0.00690200,0.00001300,0.00156900,39.17187500,39.17187500,39.03125000
macOS-14.2.1-arm64-arm-64bit,0,1024,0.00643037,0.00001371,0.00157483,0.00738200,0.00001400,0.00164000,39.18750000,39.18750000,39.04687500
