plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02394242,0.00010943,0.00060115,0.02849298,0.0001089,0.00047863,32.74609375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02157,0.00079314,0.00046224,0.02441253,0.00095641,0.00050142,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02141262,0.0005453,0.0006043,0.02452288,0.0006582,0.00071036,32.7421875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02016285,0.00079561,0.0004199,0.02407208,0.00092577,0.00044432,32.62109375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0214653,0.00038103,0.00060725,0.02499536,0.00049483,0.00073455,32.6171875,32.6171875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02153183,0.00080457,0.00057922,0.02433701,0.00100659,0.00045841,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02247834,0.00036409,0.0004433,0.02602037,0.00045032,0.0004441,32.7421875,32.8671875,32.8671875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02138866,0.00012856,0.00041055,0.025096,0.0001282,0.00041117,32.6171875,32.7421875,32.7421875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02172721,0.00032222,0.00040214,0.0251988,0.00043802,0.00040283,32.609375,32.734375,32.734375
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02125029,0.00013734,0.00039941,0.02503685,0.0001368,0.00039968,32.86328125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02321982,0.00113487,0.0006927,0.02500889,0.00140243,0.00056372,32.73828125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0218553,0.00122246,0.00043899,0.0264907,0.00137378,0.00043938,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.01980531,0.00141599,0.00045011,0.02367435,0.00373369,0.00047673,32.62109375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02160012,0.00105805,0.00044699,0.02391636,0.00127256,0.00044701,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02131278,0.00092851,0.000574,0.02320832,0.00110382,0.00046392,32.62109375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02165551,0.00039997,0.00042039,0.02454357,0.00051703,0.00044313,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02311195,0.00018996,0.00042421,0.02641374,0.00019369,0.00045036,32.73828125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02153236,0.00032154,0.00048551,0.02385731,0.00040837,0.00051653,32.62109375,32.74609375,32.74609375
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02141858,0.00035543,0.00040705,0.02318877,0.00050833,0.0004078,32.61328125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02195821,0.0003949,0.00122308,0.02503342,0.00053362,0.00146805,32.6171875,32.6171875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02324858,0.00012162,0.00041892,0.02546649,0.00012129,0.0004196,32.87109375,32.87109375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02347617,0.00012676,0.00043779,0.03084659,0.00012611,0.000464,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02437737,0.00033502,0.0004273,0.02778224,0.00045794,0.00042786,32.73828125,32.86328125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02189568,0.00119613,0.0004512,0.02461204,0.00147625,0.00046861,32.74609375,32.87109375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02334886,0.00037014,0.0004028,0.02619878,0.00050205,0.00040329,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02371904,0.00018864,0.00040081,0.0275535,0.00019249,0.00040136,32.86328125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0240438,0.00076416,0.00042557,0.02613178,0.00094098,0.00042624,32.7421875,32.8671875,32.8671875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02148123,0.00041186,0.00040905,0.0231294,0.00057901,0.00043116,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02147805,0.00042348,0.0005833,0.02340883,0.0005194,0.00045961,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02175324,0.0003644,0.00108364,0.02597274,0.00054138,0.00138607,32.7421875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0220201,0.00100616,0.00041932,0.02652273,0.00115424,0.0004196,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0236249,0.0002834,0.00040761,0.02699437,0.00036208,0.00042414,32.61328125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02392915,0.00030123,0.00042864,0.02839919,0.00043075,0.00042939,32.7421875,32.8671875,32.8671875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02193429,0.00031619,0.00042216,0.02648882,0.00042006,0.00044348,32.49609375,32.62109375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02186212,0.00084327,0.00043485,0.02353131,0.00095266,0.00043598,32.734375,32.859375,32.859375
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02142119,0.00050046,0.00046654,0.02439494,0.00068749,0.00049925,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02392366,0.00019003,0.00059045,0.02695305,0.00022638,0.00049371,32.73828125,32.86328125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0236044,0.00090265,0.00041173,0.02680335,0.0009967,0.00043371,32.609375,32.734375,32.734375
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02536482,0.00030619,0.00042711,0.02918374,0.00040576,0.00042786,32.73828125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02197424,0.0009112,0.00048555,0.02593871,0.00108486,0.00051277,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02362238,0.00064997,0.00039907,0.02617321,0.00083819,0.00039964,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02415628,0.00032071,0.00040461,0.02775482,0.00043251,0.0004053,32.6171875,32.7421875,32.7421875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02359275,0.00093664,0.00079383,0.02656059,0.00111458,0.00094658,32.6171875,32.6171875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02164803,0.00042675,0.00059921,0.02360464,0.00057688,0.00071669,32.7421875,32.7421875,32.8671875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02240912,0.0006308,0.00081393,0.02786229,0.00083442,0.00079544,32.74609375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02181098,0.00013143,0.00045354,0.02518585,0.00013068,0.00045378,32.8671875,32.8671875,32.8671875
