plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00640229,0.00001354,0.00157433,0.007309,0.000014,0.001637,39.28125,39.28125,39.140625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00609058,0.00001354,0.00151154,0.006727,0.000013,0.001585,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00632237,0.00001371,0.00152008,0.006804,0.000013,0.001587,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00639375,0.00001358,0.00151829,0.008063,0.000013,0.001576,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.006361,0.00001388,0.00155525,0.007359,0.000014,0.001582,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00626321,0.00001317,0.00146817,0.007172,0.000014,0.00156,39.03125,39.03125,38.890625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00633433,0.00001325,0.00171204,0.007008,0.000013,0.001807,39.09375,39.09375,38.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00614779,0.000014,0.00150737,0.006706,0.000014,0.001575,39,39,38.859375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00631283,0.00001396,0.00152417,0.006975,0.000014,0.001575,39.046875,39.046875,38.90625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00640871,0.00001358,0.00152362,0.00717,0.000013,0.001596,39.140625,39.140625,39
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00632896,0.00001354,0.00159254,0.006989,0.000013,0.001664,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.006359,0.00001354,0.00154671,0.007498,0.000014,0.001599,39.328125,39.328125,39.1875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00625283,0.00001388,0.00151017,0.006745,0.000014,0.001578,39.328125,39.328125,39.1875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00617683,0.00001304,0.00149008,0.006858,0.000013,0.001577,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00620817,0.00001371,0.00155858,0.006922,0.000014,0.001614,40.734375,40.734375,40.59375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00640129,0.00001321,0.00153825,0.007276,0.000013,0.001607,39.359375,39.359375,39.21875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00637633,0.00001371,0.00151079,0.0071,0.000014,0.001569,39.328125,39.328125,39.1875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00626771,0.00001354,0.00151721,0.007117,0.000013,0.001585,39.328125,39.328125,39.1875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00665808,0.00001358,0.00168208,0.007575,0.000013,0.001773,40.21875,40.21875,40.078125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00630962,0.00001317,0.00153025,0.007476,0.000014,0.001601,39.765625,39.765625,39.625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00627904,0.00001337,0.00154467,0.007256,0.000014,0.001611,39.296875,39.296875,39.15625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00636321,0.00001346,0.00162888,0.007064,0.000013,0.00173,39.671875,39.671875,39.53125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.02386725,0.00006371,0.003229,0.018529,0.000171,0.003077,41.296875,41.296875,41.203125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00640492,0.00001358,0.00152433,0.007102,0.000014,0.001574,39.21875,39.21875,39.078125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00626179,0.00001379,0.00150358,0.007024,0.000015,0.001572,39.03125,39.03125,38.890625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00626929,0.00001383,0.00151142,0.006743,0.000015,0.00162,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00637246,0.00001417,0.00158717,0.007198,0.000017,0.001645,39.296875,39.296875,39.15625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00647167,0.00001333,0.00152437,0.007013,0.000014,0.001586,39.21875,39.21875,39.078125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00620725,0.00001317,0.00156075,0.007037,0.000013,0.001627,40.390625,40.390625,40.25
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00605838,0.00001342,0.00150021,0.006484,0.000013,0.001567,39,39,38.859375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00635208,0.00001412,0.00153604,0.007081,0.000014,0.001593,39.296875,39.296875,39.15625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.006054,0.00001367,0.0015575,0.006479,0.000013,0.001626,39.921875,39.921875,39.78125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00615829,0.00001313,0.00154913,0.006773,0.000013,0.001621,39.328125,39.328125,39.203125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00616008,0.00001312,0.00150729,0.007231,0.000013,0.001561,39.234375,39.234375,39.09375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00629204,0.00001346,0.00152788,0.006957,0.000014,0.001596,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.0063355,0.00001396,0.00157083,0.006835,0.000014,0.001643,39.34375,39.34375,39.203125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00617529,0.00001325,0.00151942,0.00706,0.000014,0.001584,39,39,38.859375
